mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	tempo_visible	slur	crescendo_hairpin	diminuendo_line
2	2	4	4	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	17							1		
2	2	6	6	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	18									
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	19	o-								
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	20	-ben								
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	21	ist								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	22	der								
3	3	8	8	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	23									
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	24									
3	3	8	8	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	25							0		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	26							0		
3	3	8	8	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	27							2		
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	28							2		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	29									
3	3	8	8	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	30							3		
3	3	10	10	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	31									
4	4	12	12	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	32	al-								
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	33	-te								
4	4	14	14	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	34	Rit-								
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	35	-ter,								
4	4	12	12	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	36									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	37									
4	4	12	12	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	38							0		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	39									
4	4	12	12	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	40									
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	41									
4	4	12	12	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	42							4		
4	4	14	14	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	43							4		
5	5	16	16	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	44	drü-								
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	45	-ben								
5	5	18	18	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	46	ge-								
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	47	-hen								
5	5	16	16	4.0	0	0	Chord	4/4	3	1	1	1	1	48									
5	5	16	16	1.5	0	0	Chord	4/4	3	2	3/8	1/4	3/2	49							4		
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	50							4		
5	5	18	18	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	51									
6	6	20	20	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	52	Re-								
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	53	-gen-								
6	6	22	22	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	54	-schau-								
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	55	-er								
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	56							5		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	57									
6	6	20	20	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	58							6		
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	59							6		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	60									
6	6	20	20	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	61							7		
6	6	22	22	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	62							7		
7	7	24	24	0.0	0	0	Tempo	4/4	1	1	0							T	48.0	0.0			
7	7	24	24	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	63	und								
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	64	der								
7	7	26	26	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	65	Wald								
7	7	27	27	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	66	rauscht								
7	7	24	24	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	67							5		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	68							5		
7	7	24	24	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	69									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	70									
7	7	24	24	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	71									
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	72									
7	7	24	24	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	73							7		
7	7	26	26	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	74									
8	8	28	28	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	75	durch								
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	76	das								
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	77	Git-								
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	78	-ter.								
8	8	28	28	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	79							5		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	80									
8	8	28	28	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	81									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	82									
8	8	28	28	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	83									
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	84									
8	8	28	28	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	85							8		
8	8	30	30	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	86							8		
9	9	32	32	0.0	0	0	Tempo	4/4	1	1	0							T	50.0	0.0			
9	9	32	32	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	87	Ein-								
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	88	-ge-								
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89	-wach-								
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90	-sen								
9	9	32	32	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	91									
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	92									
9	9	32	32	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	93									
9	9	34	34	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	94									
9	9	32	32	0.0	0	0	Spanner	4/4	3	1	0											0	
9	9	32	32	4.0	0	0	Chord	4/4	3	1	1	1	1	95								0	
9	9	32	32	1.5	0	0	Chord	4/4	3	2	3/8	1/4	3/2	96							8	0	
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	97							8	0	
9	9	34	34	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	98							8	0	
10	10	36	36	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	99	Bart								
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	100	und								
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	101	Haa-								
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	102	-re								
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	103									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	104									
10	10	36	36	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	105									
10	10	38	38	0.0	1/2	1/2	Spanner	4/4	2	2	0											1	
10	10	38	38	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	106								1	
10	10	36	36	0.0	0	0	Spanner	4/4	3	1	0												
10	10	36	36	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	107									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	108									
10	10	36	36	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	109									
10	10	38	38	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	110							9		
11	11	40	40	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	111	und								
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	112	ver-								
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	113	-stei-								
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	114	-nert								
11	11	40	40	4.0	0	0	Chord	4/4	2	1	1	1	1	115									
11	11	40	40	0.0	0	0	Spanner	4/4	2	2	0												
11	11	40	40	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	116									
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	117									
11	11	40	40	4.0	0	0	Chord	4/4	3	1	1	1	1	118									
11	11	40	40	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	119							9		
11	11	42	42	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	120							9		
12	12	44	44	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	121	Brust								
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	122	und								
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	Krau-								
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	-se,								
12	12	44	44	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	125									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	126									
12	12	44	44	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	127									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	128									
12	12	44	44	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	129									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	130									
12	12	44	44	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	131									
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	132							10		
13	13	48	48	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	133	sitzt								
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	134	er								
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135	vie-								
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136	-le								
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1	1	1	137									
13	13	48	48	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	138									
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	139									
13	13	48	48	4.0	0	0	Chord	4/4	3	1	1	1	1	140									
13	13	48	48	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	141							10		
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	142							10		
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	143	hun-								
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	144	-dert								
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	145	Jah-								
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	146	-re								
14	14	52	52	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	147							11		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	148							11		
14	14	52	52	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	149									
14	14	52	52	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	150									
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	151			articAccentBelow						
14	14	52	52	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	152									
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	153	o-								
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	154	-ben								
15	15	58	58	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	155	in								
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	156	der								
15	15	56	56	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	157							11		
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	158							11		
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	159									
15	15	58	58	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	160							12		
16	16	60	60	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	161	stil-								
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	162	-len								
16	16	60	60	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	163									
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	164							13		
16	16	60	60	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	165									
16	16	62	62	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	166									
16	16	60	60	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	167							12		
16	16	62	62	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	168							12		
17	17	64	64	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	169	Klau-						14		
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	170									
17	17	64	64	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	171							13		
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	172							13		
17	17	64	64	4.0	0	0	Chord	4/4	2	2	1	1	1	173									
17	17	64	64	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	174							12		
17	17	66	66	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	175							12		
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	176	-se.								
18	18	68	68	4.0	0	0	Chord	4/4	2	1	1	1	1	177									
18	18	68	68	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	178									
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	179									
18	18	68	68	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	180							12		
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	181							12		
18	18	70	70	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	182									
19	19	72	72	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	183									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	184									
19	19	72	72	4.0	0	0	Chord	4/4	2	2	1	1	1	185									
19	19	72	72	1.5	0	0	Chord	4/4	2	3	3/8	1/4	3/2	186									
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8	1/8	1	187									
19	19	74	74	2.0	1/2	1/2	Chord	4/4	2	3	1/2	1/2	1	188									
19	19	72	72	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	189							15		
19	19	74	74	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	190									
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	191									
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	192							16		
20	20	76	76	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	193									
20	20	78	78	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	194									
20	20	76	76	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	195									
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	196									
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	197									
20	20	76	76	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	198							17		
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	199							17		
21	21	80	80	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	200							16		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	201									
21	21	80	80	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	202									
21	21	82	82	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	203									
21	21	80	80	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	204									
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	205									
21	21	80	80	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	206							17		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	207									
22	22	84	84	0.0	0	0	Dynamic	4/4	1	1	0					p							
22	22	84	84	0.0	0	0	Tempo	4/4	1	1	0							T	56.0	0.0			
22	22	84	84	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	208	Drau-								
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	209	-ssen 								
22	22	86	86	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	210	ist								
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	211	es								
22	22	84	84	0.0	0	0	Dynamic	4/4	2	1	0					p							
22	22	84	84	4.0	0	0	Chord	4/4	2	1	1	1	1	212									
22	22	84	84	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	213									
22	22	86	86	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	214									
23	23	88	88	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	215	still								
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	216	und 								
23	23	90	90	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	217	fried-								
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	218	-lich,								
23	23	88	88	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	219									
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	220									
23	23	88	88	4.0	0	0	Chord	4/4	2	2	1	1	1	221									
23	23	88	88	1.5	0	0	Chord	4/4	2	3	3/8	1/4	3/2	222									
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	3	1/8	1/8	1	223									
23	23	90	90	2.0	1/2	1/2	Chord	4/4	2	3	1/2	1/2	1	224									
23	23	88	88	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	225							18		
23	23	90	90	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	226									
24	24	92	92	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	227	al-								
24	24	93	93	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	228	-le								
24	24	94	94	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	229	sind								
24	24	191/2	191/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	230	in's								
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	231									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	232									
24	24	92	92	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	233									
24	24	94	94	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	234									
24	24	92	92	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	235							19		
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	236							19		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	237									
24	24	92	92	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	238							20		
24	24	94	94	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	239									
25	25	96	96	0.0	0	0	Tempo	4/4	1	1	0							T	50.0	0.0			
25	25	96	96	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	240	Tal								
25	25	195/2	195/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	241	ge-								
25	25	98	98	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	242	-zo-								
25	25	199/2	199/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	243	-gen,								
25	25	96	96	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	244									
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	245									
25	25	96	96	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	246									
25	25	98	98	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	247									
25	25	96	96	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	248									
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	249									
25	25	96	96	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	250							21		
25	25	98	98	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	251							21		
26	26	100	100	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	252	Wal-								
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	253	-des-								
26	26	102	102	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	254	-vö-								
26	26	207/2	207/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	255	-gel								
26	26	100	100	4.0	0	0	Chord	4/4	3	1	1	1	1	256									
26	26	100	100	1.5	0	0	Chord	4/4	3	2	3/8	1/4	3/2	257							22		
26	26	203/2	203/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	258							22		
26	26	102	102	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	259									
27	27	104	104	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	260	ein-								
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	261	-sam								
27	27	106	106	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	262	sin-								
27	27	215/2	215/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	263	-gen								
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	264							23		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	265									
27	27	104	104	1.5	0	0	Chord	4/4	3	1	3/8	1/4	3/2	266							24		
27	27	211/2	211/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	267							24		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	268									
27	27	104	104	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	269							25		
27	27	106	106	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	270							25		
28	28	108	108	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	271	in								
28	28	219/2	219/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	272	den								
28	28	110	110	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	273	lee-								
28	28	111	111	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	274	-ren								
28	28	108	108	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	275							23		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	276							23		
28	28	108	108	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	277									
28	28	110	110	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	278									
28	28	108	108	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	279									
28	28	110	110	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	280									
28	28	108	108	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	281							25		
28	28	110	110	2.0	1/2	1/2	Chord	4/4	3	2	1/2	1/2	1	282									
29	29	112	112	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	283	Fen-								
29	29	227/2	227/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	284	-ster-								
29	29	114	114	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	285	-bo-								
29	29	115	115	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	286	-gen.								
29	29	112	112	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	287									
29	29	114	114	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	288									
