mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_hairpin	decrescendo_hairpin
5	5	12	12	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	44															
5	5	13	13	0.0	1/4	1/4	Spanner	6/8	2	2	0																	1	
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	45														1	
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	46														1	
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	47														1	
5	5	12	12	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	48															
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	49															
5	5	27/2	27/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	50															
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	51															
6	6	15	15	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	52															
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	53															
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	54															
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	55															
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	56			articStaccatoBelow												
6	6	15	15	0.0	0	0	Spanner	6/8	2	2	0																		
6	6	15	15	0.5	0	0	Chord	6/8	2	2	1/8	1/8	1	57															
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8	1/8	1	58															
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	59															
6	6	33/2	33/2	0.0	3/8	3/8	Dynamic	6/8	2	2	0					sf													
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	60															
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	61			articStaccatoAbove												
6	6	15	15	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	62															
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	63															
6	6	33/2	33/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	64															
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	65			articStaccatoAbove												
7	7	18	18	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	66			articStaccatoBelow												
7	7	19	19	0.0	1/4	1/4	Spanner	6/8	2	1	0																	2	
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	67														2	
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	68														2	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	69														2	
7	7	18	18	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	70			articStaccatoAbove												
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	71															
7	7	39/2	39/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	72															
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	73															
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	74	ich														
8	8	21	21	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	75														2	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	76														2	
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	77															
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	78															
8	8	21	21	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	79															
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	80															
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	81															
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	82															
9	9	24	24	0.75	0	0	Chord	6/8	1	1	3/16	1/8	3/2	83	hör-														
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	84	-te														
9	9	25	25	0.0	1/4	1/4	Spanner	6/8	1	1	0																2		
9	9	25	25	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	85	die												2		
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	86	Vö-									0			2		
9	9	26	26	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	87													2		
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	88	-gel												2		
9	9	24	24	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	89															
9	9	25	25	0.0	1/4	1/4	Spanner	6/8	2	1	0																		0
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	90															0
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	91															0
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	92															0
9	9	24	24	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	93															
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	94															
9	9	51/2	51/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	95															
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	96															
9	9	24	24	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	97															
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	98	schla-									1			2		
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	99													2		
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	100	-gen;												2		
10	10	27	27	0.0	0	0	Spanner	6/8	2	1	0																		
10	10	27	27	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	101															
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	102															
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	103															
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	104															
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	105															
10	10	27	27	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	106															
10	10	28	28	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	107															
10	10	57/2	57/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	108															
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	109															
10	10	27	27	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	110															
11	11	30	30	0.0	0	0	SystemText	6/8	1	1	0							Im Tempo											
11	11	30	30	0.0	0	0	Spanner	6/8	1	1	0																		
11	11	30	30	3.0	0	0	Chord	6/8	2	1	3/4	1/2	3/2	111			articAccentAbove												
11	11	31	31	0.0	1/4	1/4	Spanner	6/8	2	1	0																	3	
11	11	30	30	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	112														3	
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	113														3	
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	114														3	
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	115														3	
11	11	30	30	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	116															
11	11	31	31	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	117															
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	118															
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	119															
12	12	33	33	0.0	0	0	Spanner	6/8	2	1	0																		
12	12	33	33	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	120															
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	121															
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	122															
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	123			articStaccatoAbove												
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	124			articStaccatoAbove												
12	12	33	33	0.5	0	0	Chord	6/8	2	2	1/8	1/8	1	125															
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8	1/8	1	126															
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	127															
12	12	69/2	69/2	0.0	3/8	3/8	Dynamic	6/8	2	2	0					sf													
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	128															
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	129			articStaccatoAbove												
12	12	33	33	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	130															
12	12	34	34	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	131															
12	12	69/2	69/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	132			articStaccatoAbove												
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	133			articStaccatoAbove												
13	13	77/2	77/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					f													
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	134	da														
13	13	36	36	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	135			articStaccatoBelow												
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	136			articStaccatoBelow												
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	137			articStaccatoBelow												
13	13	77/2	77/2	0.0	5/8	5/8	Dynamic	6/8	2	1	0					f													
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	138															
13	13	36	36	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	139			articStaccatoAbove												
13	13	37	37	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	140			articStaccatoAbove												
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	141			articStaccatoAbove												
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	142															
14	14	39	39	0.75	0	0	Chord	6/8	1	1	3/16	1/8	3/2	143	blitz-														
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16	1/16	1	144	-ten														
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	145	viel														
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	146	Rei-														
14	14	41	41	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	147	-ter,														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	148	das														
14	14	39	39	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	149															
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	150															
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	151															
14	14	39	39	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	152															
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	153															
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	154															
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	155															
14	14	39	39	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	156															
14	14	40	40	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	157															
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	158															
14	14	83/2	83/2	0.0	5/8	5/8	Dynamic	6/8	3	1	0					f													
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	159															
14	14	39	39	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	160															
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	161															
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	162															
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	163	Wald-														
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	164	-horn-														
15	15	87/2	87/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	165	-klang,														
15	15	42	42	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	166															
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	167															
15	15	89/2	89/2	0.0	5/8	5/8	Dynamic	6/8	2	1	0					sf													
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	168															
15	15	42	42	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	169															
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	170															
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	2	2	1/4	1/4	1	171															
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	172															
15	15	42	42	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	173															
15	15	43	43	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	174															
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	175															
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	176															
15	15	42	42	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	177															
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	178															
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	179															
16	16	45	45	0.0	0	0	Spanner	6/8	2	1	0																	4	
16	16	45	45	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	180														4	
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	181														4	
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	182														4	
16	16	93/2	93/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																		
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	183															
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	184															
16	16	45	45	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	185															
16	16	45	45	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	186															
16	16	46	46	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	187															
16	16	93/2	93/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	188															
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	189															
17	17	101/2	101/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0					f													
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	190	das														
17	17	48	48	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	191															
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	192															
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	193															
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	194															
17	17	48	48	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	195															
17	17	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	196															
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	197															
17	17	101/2	101/2	0.0	5/8	5/8	Dynamic	6/8	3	1	0					f													
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	198															
17	17	48	48	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	199															
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	200															
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	201															
18	18	51	51	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	202	war														
18	18	52	52	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	203	ein														
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	204	lus-														
18	18	53	53	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	205	-ti-														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	206	-ges														
18	18	51	51	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	207															
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	208															
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	209															
18	18	51	51	0.5	0	0	Chord	6/8	2	2	1/8	1/8	1	210										2					
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8	1/8	1	211															
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	212															
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8	1/8	1	213															
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	2	1/8	1/8	1	214															
18	18	51	51	0.0	0	0	Dynamic	6/8	3	1	0					f													
18	18	51	51	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	215															
18	18	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	216															
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	217															
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	218															
18	18	51	51	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	219															
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	3	2	1/8	1/8	1	220															
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	221															
19	19	54	54	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	222	Ja-									3					
19	19	55	55	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	223															
19	19	111/2	111/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	224	-gen!														
19	19	54	54	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	225															
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	226															
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	227															
19	19	54	54	0.5	0	0	Chord	6/8	2	2	1/8	1/8	1	228										4					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	2	2	1/8	1/8	1	229															
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	230															
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	2	1/8	1/8	1	231															
19	19	54	54	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	232															
19	19	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	233															
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	234															
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	235															
19	19	54	54	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	236															
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	3	2	1/8	1/8	1	237															
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	238															
20	20	57	57	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	239															
20	20	115/2	115/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	240															
20	20	58	58	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	241															
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	242															
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	243															
20	20	57	57	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	244															
20	20	57	57	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	245															
20	20	58	58	0.5	1/4	1/4	Chord	6/8	3	2	1/8	1/8	1	246															
20	20	117/2	117/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	247															
20	20	119/2	119/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	248															
21	21	60	60	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	249															
21	21	61	61	0.0	1/4	1/4	Spanner	6/8	2	1	0																		1
21	21	61	61	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	250															1
21	21	123/2	123/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	251															1
21	21	125/2	125/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	252															1
21	21	60	60	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	253															
21	21	61	61	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	254															
