mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin	Trill:trill
24	24	69	69	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	256	ist,												
24	24	69	69	0.0	0	0	Spanner	3/4	2	1	0															5		
24	24	69	69	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	257										33	5		
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	258										33	5		
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	259										33	5		
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	260											5		
24	24	143/2	143/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																	
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	261													
24	24	69	69	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	262										34			
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	263										34			
24	24	70	70	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	264										34			
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	265										34			
24	24	71	71	0.0	1/2	1/2	Dynamic	3/4	3	1	0						f											
24	24	71	71	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	266													
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0						f											
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	267	wohl												
25	25	73	73	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	268	irrt												
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	269	das												
25	25	145/2	145/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																1	
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	270												1	
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	271												1	
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	272												1	
25	25	149/2	149/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						mf										1	
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	273												1	
25	25	72	72	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	274			articAccentBelow							35			
25	25	74	74	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	275													
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	276	Wald-												
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2		1/2	1	277	-horn												
26	26	75	75	0.0	0	0	Spanner	3/4	2	1	0																	
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	278													
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	279													
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	280													
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	281													
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	282													
26	26	75	75	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	283													
27	27	78	78	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	284	her									36			
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	285			ornamentShortTrill							36			
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	286													
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	287	und												
27	27	157/2	157/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																2	
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	288												2	
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	289												2	
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	290												2	
27	27	161/2	161/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						p										2	
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	291												2	
27	27	78	78	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	292			articAccentBelow							37			
27	27	80	80	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	293													
28	28	81	81	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	294	hin,												
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	295	o												
28	28	81	81	0.0	0	0	Spanner	3/4	2	1	0																	
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	296													
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	297													
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	298													
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	299													
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	300													
28	28	81	81	3.0	0	0	Chord	3/4	3	1	3/4		1/2	3/2	301													
29	29	84	84	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	302	flieh',									38			
29	29	85	85	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	303													
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	304	o												
29	29	84	84	0.0	0	0	Dynamic	3/4	2	1	0						p											
29	29	169/2	169/2	0.0	1/8	1/8	Spanner	3/4	2	1	0															6		
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	305											6		
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	306											6		
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	307											6		
29	29	173/2	173/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						mf									6		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	308											6		
29	29	84	84	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	309										39			
29	29	86	86	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	310													
30	30	87	87	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	311	flieh'!									40			
30	30	88	88	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	312													
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	313	du												
30	30	87	87	0.0	0	0	Spanner	3/4	2	1	0																	
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	314													
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	315													
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	316													
30	30	87	87	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	317										41			
30	30	88	88	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	318										41			
30	30	89	89	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	319													
31	31	90	90	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	320	weisst												
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	321	nicht,												
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	322	wer												
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	323	ich												
31	31	90	90	0.0	0	0	Dynamic	3/4	2	1	0						mf											
31	31	90	90	0.0	0	0	Spanner	3/4	2	1	0																3	
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	324												3	
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	325												3	
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	326												3	
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	327												3	
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	328												3	
31	31	90	90	2.0	0	0	Chord	3/4	3	1	1/2		1/2	1	329													
31	31	92	92	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	330													
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	331	bin.												
32	32	93	93	0.0	0	0	Dynamic	3/4	2	1	0						p											
32	32	93	93	0.0	0	0	Spanner	3/4	2	1	0																	
32	32	187/2	187/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	332													
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	333													
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	334										42			
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	335										42			
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	336										42			
32	32	93	93	1.5	0	0	Chord	3/4	3	1	3/8		1/4	3/2	337													
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	338										43			
32	32	95	95	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	339										43			
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	340										43			
32	32	93	93	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	341													
33	33	195/2	195/2	0.0	3/8	3/8	Dynamic	3/4	1	1	0						f											
33	33	195/2	195/2	0.0	3/8	3/8	Tempo	3/4	1	1	0									𝅘𝅥=136	136.0	𝅘𝅥	136.0	0.0				
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	342	So												
33	33	98	98	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	343	reich												
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	344	ge-												
33	33	96	96	0.0	0	0	Dynamic	3/4	2	1	0						f											
33	33	96	96	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	345													
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	346													
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	347										44			
33	33	98	98	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	348										44			
33	33	395/4	395/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	349													
33	33	96	96	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	350													
33	33	97	97	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	351													
33	33	96	96	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	352													
34	34	99	99	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	353	-schmückt									45			
34	34	100	100	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	354													
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	355	ist												
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	356										46			
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	357										46			
34	34	201/2	201/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														46	7		
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	358										46	7		
34	34	101	101	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	359											7		
34	34	407/4	407/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	360											7		
34	34	99	99	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	361													
34	34	100	100	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	362													
34	34	99	99	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	363													
35	35	102	102	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	364	Ross									47			
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	365										47			
35	35	104	104	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	366													
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	367	und												
35	35	102	102	0.0	0	0	Dynamic	3/4	2	1	0						mf											
35	35	102	102	0.0	0	0	Spanner	3/4	2	1	0																	
35	35	102	102	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	368													
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	369										48			
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	370										48			
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	371													
35	35	209/2	209/2	0.0	5/8	5/8	Dynamic	3/4	2	1	0						mf											
35	35	209/2	209/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																4	
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	372												4	
35	35	102	102	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	373													
35	35	103	103	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	374													
35	35	102	102	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	375													
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	376	Weib,									49			
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	377													
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	378	so												
36	36	107	107	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	379													
36	36	105	105	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	380										50		4	
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	381										50		4	
36	36	213/2	213/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0						p								50			
36	36	213/2	213/2	0.0	3/8	3/8	Spanner	3/4	2	1	0														50			
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	382										50			
36	36	107	107	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	383													
36	36	431/4	431/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	384													
36	36	105	105	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	385													
36	36	106	106	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	386													
36	36	105	105	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	387													
37	37	108	108	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	388	wun-												
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	389	-der-												
37	37	110	110	0.75	1/2	1/2	Chord	3/4	1	1	3/16		1/8	3/2	390	-schön,												
37	37	443/4	443/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	391	so												
37	37	108	108	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	392													
37	37	109	109	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	393										51			
37	37	219/2	219/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	394										51			
37	37	110	110	0.75	1/2	1/2	Chord	3/4	2	1	3/16		1/8	3/2	395													
37	37	443/4	443/4	0.25	11/16	11/16	Chord	3/4	2	1	1/16		1/16	1	396													
37	37	108	108	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	397													
37	37	109	109	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	398													
37	37	108	108	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	399													
38	38	111	111	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	400	wun-												
38	38	447/4	447/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	401	-der-												
38	38	112	112	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	402	-schön												
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	403	der												
38	38	111	111	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	404										52			
38	38	112	112	0.0	1/4	1/4	Dynamic	3/4	2	1	0						p								52			
38	38	112	112	0.0	1/4	1/4	Spanner	3/4	2	1	0														52	8		
38	38	112	112	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	405										52	8		
38	38	225/2	225/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	406										52	8		
38	38	113	113	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	407											8		
38	38	227/2	227/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	408											8		
38	38	111	111	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	409													
38	38	112	112	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	410													
38	38	111	111	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	411													
39	39	114	114	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	412	jun-									53			
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	413										53			
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	414													
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	415	-ge												
39	39	114	114	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	416											8		
39	39	115	115	0.0	1/4	1/4	Dynamic	3/4	2	1	0						f											
39	39	115	115	0.0	1/4	1/4	Spanner	3/4	2	1	0																	
39	39	115	115	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	417										54			
39	39	231/2	231/2	0.0	3/8	3/8	Dynamic	3/4	2	1	0						mp								54			
39	39	231/2	231/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	418										54			
39	39	116	116	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	419													
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	420													
39	39	114	114	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	421													
39	39	115	115	2.0	1/4	1/4	Chord	3/4	3	1	1/2		1/2	1	422													
39	39	114	114	3.0	0	0	Chord	3/4	3	2	3/4		1/2	3/2	423													
40	40	117	117	0.0	0	0	StaffText	3/4	1	1	0								ritard.									
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	424	Leib;									55			
40	40	118	118	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	425													
40	40	239/2	239/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						f											
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	426	jetzt												
40	40	117	117	0.0	0	0	StaffText	3/4	2	1	0								ritard.									
40	40	117	117	0.0	0	0	Dynamic	3/4	2	1	0						mp											
40	40	117	117	0.0	0	0	Spanner	3/4	2	1	0															9		
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	427										56	9		
40	40	118	118	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	428										56	9		
40	40	237/2	237/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	429										56	9		
40	40	119	119	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	430											9		
40	40	239/2	239/2	0.0	5/8	5/8	Spanner	3/4	2	1	0																	
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	431			articStaccatoBelow										
40	40	117	117	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	432													
40	40	118	118	1.5	1/4	1/4	Chord	3/4	3	1	3/8		1/4	3/2	433													
40	40	239/2	239/2	0.0	5/8	5/8	Dynamic	3/4	3	1	0						f											
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	434			articStaccatoAbove										
40	40	117	117	2.0	0	0	Chord	3/4	3	2	1/2		1/2	1	435													
40	40	239/2	239/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	436			articStaccatoBelow										
41	41	120	120	0.0	0	0	Tempo	3/4	1	1	0									ImTempo.	136.0			1.0				
41	41	120	120	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	437	kenn'												
41	41	241/2	241/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	438	ich												
41	41	121	121	0.0	1/4	1/4	Spanner	3/4	1	1	0															10		
41	41	121	121	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	439	dich,										10		
41	41	122	122	0.0	1/2	1/2	Spanner	3/4	1	1	0																	
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	440	Gott												
41	41	120	120	0.0	0	0	StaffText	3/4	2	1	0								<i><b/></i><b>Im Tempo.</b>									
41	41	120	120	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	441													
41	41	122	122	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	442													
41	41	120	120	0.0	0	0	Dynamic	3/4	3	1	0						f											
41	41	120	120	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	443			articStaccatoBelow										
41	41	122	122	0.0	1/2	1/2	Dynamic	3/4	3	1	0						f											
41	41	122	122	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	444													
42	42	123	123	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	445	steh'												
42	42	495/4	495/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	446	mir												
42	42	124	124	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	447	bei!												
42	42	251/2	251/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						f											
42	42	251/2	251/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	448	du												
42	42	123	123	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	449													
42	42	124	124	0.75	1/4	1/4	Chord	3/4	2	1	3/16		1/8	3/2	450													
42	42	499/4	499/4	0.25	7/16	7/16	Chord	3/4	2	1	1/16		1/16	1	451													
42	42	125	125	0.0	1/2	1/2	Spanner	3/4	2	1	0																5	
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	452												5	
42	42	123	123	0.0	0	0	Dynamic	3/4	3	1	0						f											
42	42	123	123	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	453													
42	42	124	124	0.75	1/4	1/4	Chord	3/4	3	1	3/16		1/8	3/2	454													
42	42	499/4	499/4	0.25	7/16	7/16	Chord	3/4	3	1	1/16		1/16	1	455													
42	42	125	125	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	456													
43	43	126	126	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	457	bist												
43	43	507/4	507/4	0.0	3/16	3/16	Tempo	3/4	1	1	0									𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0				
43	43	507/4	507/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	458	die												
43	43	127	127	0.0	1/4	1/4	StaffText	3/4	1	1	0								ritard.									
43	43	127	127	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	459	He-												
43	43	255/2	255/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	460	-xe												
43	43	128	128	0.3333333333333333	1/2	1/2	Chord	3/4	1	1	1/12		1/8	2/3	461	Lo-									57			
43	43	385/3	385/3	0.3333333333333333	7/12	7/12	Chord	3/4	1	1	1/12		1/8	2/3	462													
43	43	386/3	386/3	0.3333333333333333	2/3	2/3	Chord	3/4	1	1	1/12		1/8	2/3	463	-re-												
43	43	126	126	0.0	0	0	Spanner	3/4	2	1	0																	
43	43	126	126	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	464													
43	43	127	127	0.0	1/4	1/4	StaffText	3/4	2	1	0								ritard.									
43	43	127	127	0.0	1/4	1/4	Dynamic	3/4	2	1	0						mf											
43	43	127	127	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	465										58			
43	43	128	128	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	466										58			
43	43	128	128	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	467													
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	468													
43	43	126	126	1.0	0	0	Chord	3/4	3	1	1/4		1/4	1	469										59			
43	43	127	127	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	470										59			
43	43	128	128	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	471										59			
43	43	128	128	0.5	1/2	1/2	Chord	3/4	3	2	1/8		1/8	1	472													
43	43	257/2	257/2	0.5	5/8	5/8	Chord	3/4	3	2	1/8		1/8	1	473													
44	44	129	129	0.0	0	0	Tempo	3/4	1	1	0									ImTempo.	136.0			1.0				
44	44	129	129	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	474	-ley!												
44	44	259/2	259/2	0.0	1/8	1/8	Tempo	3/4	1	1	0									𝅘𝅥=136	136.0	𝅘𝅥	136.0	0.0				
44	44	129	129	0.0	0	0	StaffText	3/4	2	1	0								<i><b/></i><b>Im Tempo.</b>									
44	44	129	129	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	475													
44	44	259/2	259/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																6	
44	44	259/2	259/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	476												6	
44	44	130	130	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	477												6	
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	478												6	
44	44	131	131	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	479												6	
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	480												6	
44	44	129	129	0.5	0	0	Chord	3/4	2	2	1/8		1/8	1	481												6	
44	44	129	129	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	482													
45	45	132	132	0.0	0	0	Spanner	3/4	2	1	0																	
45	45	132	132	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	483										60			
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	484										60			
45	45	133	133	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	485										60			
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	486													
45	45	269/2	269/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	487													
45	45	132	132	0.0	0	0	Dynamic	3/4	3	1	0						p											
45	45	132	132	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	488										61			
45	45	265/2	265/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	489										61			
45	45	133	133	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	490										61			
45	45	267/2	267/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	491										61			
45	45	134	134	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	492													
46	46	275/2	275/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p											
