mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	system_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	diminuendo_line
16	16	30	30	0.0	0	0	Spanner	2/4	1	1	0																	
16	16	30	30	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	250	al-												
16	16	123/4	123/4	0.0	3/16	3/16	Tempo	2/4	1	1	0									T	45.0			0.0				
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	251	-ten												
16	16	31	31	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	252	schö-												
16	16	127/4	127/4	0.0	7/16	7/16	Tempo	2/4	1	1	0									T	40.0			0.0				
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	253	-nen												
16	16	30	30	0.0	0	0	Spanner	2/4	2	1	0																	
16	16	121/4	121/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																6	
16	16	121/4	121/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	254												6	
16	16	123/4	123/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	255			articStaccatoAbove							19		6	
16	16	125/4	125/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	256			articStaccatoAbove							19		6	
16	16	63/2	63/2	0.0	3/8	3/8	Spanner	2/4	2	1	0														19			
16	16	127/4	127/4	0.0	7/16	7/16	Spanner	2/4	2	1	0															5		
16	16	127/4	127/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	257			articStaccatoAbove								5		
16	16	30	30	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	258										20			
16	16	61/2	61/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	259										20			
16	16	31	31	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	260										20			
16	16	63/2	63/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	261										20			
17	17	32	32	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	262	Zeit!												
17	17	135/4	135/4	0.0	7/16	7/16	SystemText	2/4	1	1	0								Im									
17	17	135/4	135/4	0.0	7/16	7/16	SystemText	2/4	1	1	0								Im									
17	17	135/4	135/4	0.0	7/16	7/16	Tempo	2/4	1	1	0									T	60.0			0.0				
17	17	135/4	135/4	0.0	7/16	7/16	Dynamic	2/4	1	1	0						p											
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	263	Die												
17	17	32	32	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	264											5		
17	17	129/4	129/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																	
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	265										21			
17	17	65/2	65/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	266										21			
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	267										21			
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	268										21			
17	17	33	33	0.75	1/4	1/4	Chord	2/4	2	1	3/16		1/8	3/2	269										21			
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	270													
17	17	129/4	129/4	0.75	1/16	1/16	Chord	2/4	2	2	3/16		1/8	3/2	271													
17	17	33	33	0.25	1/4	1/4	Chord	2/4	2	2	1/16		1/16	1	272													
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	2	2	1/16		1/16	1	273													
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	2	2	1/16		1/16	1	274													
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	2	2	1/16		1/16	1	275													
17	17	32	32	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	276													
17	17	129/4	129/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	277										22			
17	17	65/2	65/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	278										22			
17	17	65/2	65/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	279										22			
17	17	131/4	131/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	280										22			
17	17	33	33	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	281										22			
17	17	133/4	133/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	282										22			
17	17	67/2	67/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	283										22			
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	284													
17	17	129/4	129/4	0.75	1/16	1/16	Chord	2/4	3	2	3/16		1/8	3/2	285													
17	17	33	33	0.5	1/4	1/4	Chord	2/4	3	2	1/8		1/8	1	286													
17	17	135/4	135/4	0.25	7/16	7/16	Chord	2/4	3	2	1/16		1/16	1	287													
18	18	34	34	0.0	0	0	SystemText	2/4	1	1	0								Tempo									
18	18	34	34	0.0	0	0	SystemText	2/4	1	1	0								Tempo									
18	18	34	34	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	288	Mon-												
18	18	69/2	69/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	289													
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	290	-des-												
18	18	35	35	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	291	-schim-												
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	292	-mer												
18	18	34	34	0.0	0	0	Dynamic	2/4	2	1	0						p											
18	18	137/4	137/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	293													
18	18	139/4	139/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	294													
18	18	141/4	141/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	295													
18	18	143/4	143/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	296													
18	18	34	34	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	297													
18	18	69/2	69/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	298													
18	18	35	35	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	299													
18	18	71/2	71/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	300													
19	19	36	36	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	301	flie-												
19	19	73/2	73/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	302	-gen,												
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	303	als												
19	19	36	36	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	304													
19	19	145/4	145/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															6		
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	305										23	6		
19	19	73/2	73/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	306										23	6		
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	307										23	6		
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	308										23	6		
19	19	37	37	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	309										23	6		
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	310										23	6		
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	311										23	6		
19	19	151/4	151/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																	
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	312													
19	19	36	36	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	313													
19	19	145/4	145/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	314										24			
19	19	73/2	73/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	315										24			
19	19	73/2	73/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	316										24			
19	19	147/4	147/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	317										24			
19	19	37	37	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	318										24			
19	19	149/4	149/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	319										24			
19	19	75/2	75/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	320										24			
19	19	151/4	151/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	321													
20	20	38	38	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	322	säh'												
20	20	77/2	77/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	323													
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	324	ich												
20	20	39	39	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	325	un-												
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	326	-ter												
20	20	153/4	153/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	327													
20	20	155/4	155/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	328													
20	20	157/4	157/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	329													
20	20	159/4	159/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	330													
20	20	38	38	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	331													
20	20	77/2	77/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	332													
20	20	39	39	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	333													
20	20	79/2	79/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	334													
21	21	40	40	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	335	mir												
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	336	das												
21	21	40	40	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	337													
21	21	161/4	161/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															7		
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	338										25	7		
21	21	81/2	81/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	339										25	7		
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	340										25	7		
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	341										25	7		
21	21	41	41	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	342										25	7		
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	343										25	7		
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	344										25	7		
21	21	167/4	167/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																	
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	345													
21	21	40	40	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	346													
21	21	161/4	161/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	347										26			
21	21	81/2	81/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	348										26			
21	21	81/2	81/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	349										26			
21	21	163/4	163/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	350										26			
21	21	41	41	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	351										26			
21	21	165/4	165/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	352										26			
21	21	83/2	83/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	353										26			
21	21	167/4	167/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	354													
22	22	42	42	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	355	Schloss												
22	22	85/2	85/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	356													
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	357	im												
22	22	43	43	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	358	Tha-												
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	359	-le												
22	22	169/4	169/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	360													
22	22	171/4	171/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	361													
22	22	173/4	173/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	362													
22	22	175/4	175/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	363													
22	22	42	42	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	364													
22	22	85/2	85/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	365													
22	22	43	43	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	366													
22	22	87/2	87/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	367													
23	23	44	44	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	368	lie-												
23	23	89/2	89/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	369	-gen,												
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	370	und												
23	23	44	44	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	371													
23	23	177/4	177/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															8		
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	372										27	8		
23	23	89/2	89/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	373										27	8		
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	374										27	8		
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	375										27	8		
23	23	45	45	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	376										27	8		
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	377										27	8		
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	378										27	8		
23	23	183/4	183/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																	
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	379													
23	23	44	44	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	380													
23	23	177/4	177/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	381										28			
23	23	89/2	89/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	382										28			
23	23	89/2	89/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	383										28			
23	23	179/4	179/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	384										28			
23	23	45	45	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	385										28			
23	23	181/4	181/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	386										28			
23	23	91/2	91/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	387										28			
23	23	183/4	183/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	388													
24	24	46	46	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	389	ist												
24	24	93/2	93/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	390	doch												
24	24	375/8	375/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	391	so												
24	24	47	47	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	392	weit												
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	393	von												
24	24	185/4	185/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	394													
24	24	187/4	187/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	395													
24	24	189/4	189/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	396													
24	24	191/4	191/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	397													
24	24	46	46	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	398													
24	24	93/2	93/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	399													
24	24	47	47	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	400													
24	24	95/2	95/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	401													
25	25	48	48	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	402	hier!												
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	403	Als												
25	25	48	48	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	404													
25	25	193/4	193/4	0.0	1/16	1/16	Spanner	2/4	2	1	0															9		
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	405										29	9		
25	25	97/2	97/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	406										29	9		
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	407										29	9		
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	408										29	9		
25	25	49	49	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	409										29	9		
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	410										29	9		
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	411										29	9		
25	25	199/4	199/4	0.0	7/16	7/16	Spanner	2/4	2	1	0																	
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	412													
25	25	48	48	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	413													
25	25	193/4	193/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	414										30			
25	25	97/2	97/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	415										30			
25	25	97/2	97/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	416										30			
25	25	195/4	195/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	417										30			
25	25	49	49	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	418										30			
25	25	197/4	197/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	419										30			
25	25	99/2	99/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	420										30			
25	25	199/4	199/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	421													
26	26	50	50	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	422	müss-												
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	423	-te												
26	26	51	51	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	424	in									31			
26	26	205/4	205/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	425													
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	426	dem												
26	26	201/4	201/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																7	
26	26	201/4	201/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	427												7	
26	26	203/4	203/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	428												7	
26	26	205/4	205/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	429												7	
26	26	207/4	207/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	430												7	
26	26	50	50	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	431													
26	26	101/2	101/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	432													
26	26	51	51	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	433													
26	26	103/2	103/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	434													
27	27	52	52	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	435	Gar-												
27	27	105/2	105/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	436	-ten												
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	437	voll												
27	27	52	52	0.0	0	0	Spanner	2/4	2	1	0																	
27	27	52	52	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	438													
27	27	209/4	209/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																8	
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	439										32		8	
27	27	105/2	105/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	440										32		8	
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	441										32		8	
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	442										32		8	
27	27	53	53	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	443										32		8	
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	444										32		8	
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	445										32		8	
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	446												8	
27	27	52	52	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	447													
27	27	209/4	209/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	448										33			
27	27	105/2	105/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	449										33			
27	27	105/2	105/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	450										33			
27	27	211/4	211/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	451										33			
27	27	53	53	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	452										33			
27	27	213/4	213/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	453										33			
27	27	107/2	107/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	454										33			
27	27	215/4	215/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	455													
28	28	54	54	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	456	Ro-												
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	457	-sen												
28	28	55	55	0.75	1/4	1/4	Chord	2/4	1	1	3/16		1/8	3/2	458	weiss												
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	459	und												
28	28	54	54	0.0	0	0	Spanner	2/4	2	1	0																	
28	28	217/4	217/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																9	
28	28	217/4	217/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	460												9	
28	28	219/4	219/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	461												9	
28	28	221/4	221/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	462												9	
28	28	223/4	223/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	463												9	
28	28	54	54	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	464													
28	28	109/2	109/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	465													
28	28	55	55	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	466													
28	28	111/2	111/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	467													
29	29	56	56	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	468	roth												
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	469	mei-												
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	470	-ne												
29	29	56	56	0.0	0	0	Spanner	2/4	2	1	0																	
29	29	56	56	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	471													
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	472										34			
29	29	113/2	113/2	0.0	1/8	1/8	Chord	2/4	2	1	0	grace16	1/16	1	473										34			
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	474										34			
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	475										34			
29	29	57	57	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	476										34			
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	477										34			
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	478										34			
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	479													
29	29	56	56	0.25	0	0	Chord	2/4	3	1	1/16		1/16	1	480													
29	29	225/4	225/4	0.25	1/16	1/16	Chord	2/4	3	1	1/16		1/16	1	481										35			
29	29	113/2	113/2	0.0	1/8	1/8	Chord	2/4	3	1	0	grace16	1/16	1	482										35			
29	29	113/2	113/2	0.25	1/8	1/8	Chord	2/4	3	1	1/16		1/16	1	483										35			
29	29	227/4	227/4	0.25	3/16	3/16	Chord	2/4	3	1	1/16		1/16	1	484										35			
29	29	57	57	0.25	1/4	1/4	Chord	2/4	3	1	1/16		1/16	1	485										35			
29	29	229/4	229/4	0.25	5/16	5/16	Chord	2/4	3	1	1/16		1/16	1	486										35			
29	29	115/2	115/2	0.25	3/8	3/8	Chord	2/4	3	1	1/16		1/16	1	487										35			
29	29	231/4	231/4	0.25	7/16	7/16	Chord	2/4	3	1	1/16		1/16	1	488													
30	30	58	58	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	489	Lieb-												
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	490	-ste												
30	30	59	59	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	491	auf												
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8		1/8	1	492	mich												
30	30	233/4	233/4	0.0	1/16	1/16	Spanner	2/4	2	1	0																10	
30	30	233/4	233/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	493												10	
30	30	235/4	235/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	494			articStaccatoAbove							36		10	
30	30	237/4	237/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	495			articStaccatoAbove							36		10	
30	30	239/4	239/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	496			articStaccatoAbove									10	
30	30	58	58	0.5	0	0	Chord	2/4	3	1	1/8		1/8	1	497										37			
30	30	117/2	117/2	0.5	1/8	1/8	Chord	2/4	3	1	1/8		1/8	1	498										37			
30	30	59	59	0.5	1/4	1/4	Chord	2/4	3	1	1/8		1/8	1	499										37			
30	30	119/2	119/2	0.5	3/8	3/8	Chord	2/4	3	1	1/8		1/8	1	500										37			
31	31	60	60	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	501	war-												
31	31	121/2	121/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	502	-ten,												
