mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	39														
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	40														
5	5	33/2	33/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0						p												
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	41										2				
5	5	17	17	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	42										2				
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	43										2				
5	5	18	18	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	44										2				
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	45										2				
5	5	19	19	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	46														
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	47														
5	5	19	19	1.0	3/4	3/4	Chord	4/4	3	2	1/4		1/4	1	48														
6	6	20	20	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	49										3				
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	50										3				
6	6	22	22	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	51										3				
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	52										3				
6	6	20	20	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	53														
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	54														
6	6	21	21	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	55														
6	6	22	22	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	56														
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	57														
6	6	23	23	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	58														
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	59										3				
7	7	49/2	49/2	1.0	1/8	1/8	Chord	4/4	2	1	1/4		1/4	1	60										3				
7	7	51/2	51/2	1.0	3/8	3/8	Chord	4/4	2	1	1/4		1/4	1	61										3				
7	7	53/2	53/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4		1/4	1	62										3				
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	63														
7	7	24	24	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	64														
7	7	25	25	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	65														
7	7	26	26	1.0	1/2	1/2	Chord	4/4	3	1	1/4		1/4	1	66														
7	7	27	27	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	67														
8	8	28	28	0.0	0	0	Dynamic	4/4	1	1	0						p												
8	8	28	28	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	68	Dämm'-													
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	69	-rung													
8	8	30	30	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	70	will													
8	8	31	31	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	71	die													
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	72										4				
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	73										4				
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	74										4				
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	75										4				
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	76										4				
8	8	31	31	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	77										4				
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	78										4				
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	79														
8	8	28	28	4.0	0	0	Chord	4/4	3	1	1		1	1	80														
9	9	32	32	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	81	Flü-													
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	82	-gel													
9	9	34	34	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	83	sprei-													
9	9	35	35	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	84	-ten,													
9	9	32	32	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	85										4				
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	86										4				
9	9	34	34	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	87										4				
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	88														
9	9	32	32	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	89														
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	90														
9	9	33	33	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	91														
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	92														
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	93														
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	94														
9	9	32	32	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	95														
9	9	33	33	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	96														
10	10	36	36	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	97	schau-													
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	98	-rig													
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	99	rüh-													
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	100	-ren													
10	10	36	36	2.0	0	0	Chord	4/4	2	1	1/2		1/2	1	101														
10	10	38	38	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	102														
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	103														
10	10	36	36	1.0	0	0	Chord	4/4	2	2	1/4		1/4	1	104														
10	10	73/2	73/2	1.5	1/8	1/8	Chord	4/4	3	1	3/8		1/4	3/2	105														
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	106														
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	107														
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8		1/8	1	108										5				
10	10	37	37	0.5	1/4	1/4	Chord	4/4	3	2	1/8		1/8	1	109										5				
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8		1/8	1	110										5				
10	10	38	38	0.5	1/2	1/2	Chord	4/4	3	2	1/8		1/8	1	111										5				
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8		1/8	1	112										5				
10	10	39	39	0.5	3/4	3/4	Chord	4/4	3	2	1/8		1/8	1	113														
10	10	37	37	1.0	1/4	1/4	Chord	4/4	3	3	1/4		1/4	1	114														
10	10	77/2	77/2	1.5	5/8	5/8	Chord	4/4	3	3	3/8		1/4	3/2	115														
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	116	sich									6				
11	11	81/2	81/2	1.0	1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	117														
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	118	die													
11	11	42	42	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	119	Bäu-													
11	11	43	43	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	120	-me,													
11	11	40	40	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	121										7				
11	11	83/2	83/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	122										7				
11	11	42	42	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	123										7				
11	11	87/2	87/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	124														
11	11	40	40	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	125														
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	126														
11	11	41	41	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	127														
11	11	42	42	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	128														
11	11	85/2	85/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	129														
11	11	43	43	1.0	3/4	3/4	Chord	4/4	3	1	1/4		1/4	1	130														
12	12	44	44	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	131	Wol-													
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	132	-ken													
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	133	zieh'n													
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	134	wie													
12	12	44	44	4.0	0	0	Chord	4/4	2	1	1		1	1	135														
12	12	89/2	89/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0						p												
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	136										8				
12	12	45	45	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	137										8				
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	138										8				
12	12	46	46	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	139										8				
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	140										8				
12	12	47	47	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	141										8				
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	142										8				
12	12	46	46	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	143														
13	13	48	48	0.0	0	0	Tempo	4/4	1	1	0									ritard.	67.0			1.0					
13	13	48	48	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	144	schwe-													
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	145	-re													
13	13	50	50	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0					
13	13	50	50	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	146	Träu-													
13	13	51	51	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	147	-me,													
13	13	48	48	0.0	0	0	StaffText	4/4	2	1	0								ritard.										
13	13	48	48	4.0	0	0	Chord	4/4	2	1	1		1	1	148														
13	13	48	48	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	149														
13	13	97/2	97/2	0.0	1/8	1/8	Spanner	4/4	3	1	0																	0	
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	150										9			0	
13	13	49	49	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	151										9			0	
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	152										9			0	
13	13	50	50	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	153										9			0	
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	154										9			0	
13	13	51	51	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	155										9			0	
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	156										9			0	
14	14	52	52	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0					
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	157	was													
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	158	will													
14	14	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	159	die-													
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	160	-ses													
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	161	Grau'n													
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	162	be-													
14	14	52	52	4.0	0	0	Chord	4/4	2	1	1		1	1	163														
14	14	54	54	0.0	1/2	1/2	Dynamic	4/4	2	2	0						pp												
14	14	54	54	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	164														
14	14	52	52	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	165													0	
14	14	53	53	0.0	1/4	1/4	Spanner	4/4	3	1	0																		
14	14	54	54	2.0	1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	166														
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	167	-deu-													
15	15	113/2	113/2	0.0	1/8	1/8	Tempo	4/4	1	1	0									ritard.	57.0			1.0					
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	168	-ten?													
15	15	58	58	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=54	54.0	𝅘𝅥	54.0	0.0					
15	15	113/2	113/2	1.5	1/8	1/8	Chord	4/4	2	1	3/8		1/4	3/2	169										10				
15	15	58	58	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	170										10				
15	15	59	59	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	171										10				
15	15	56	56	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	172														
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	173														
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	174														
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	175														
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	176														
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	177														
15	15	56	56	4.0	0	0	Chord	4/4	2	4	1		1	1	178														
15	15	56	56	2.0	0	0	Chord	4/4	3	1	1/2		1/2	1	179														
15	15	58	58	0.0	1/2	1/2	Spanner	4/4	3	1	0																		0
15	15	58	58	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	180														0
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	181														0
15	15	59	59	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	182														0
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	183														0
16	16	60	60	0.0	0	0	Dynamic	4/4	1	1	0						p												
16	16	60	60	0.0	0	0	Tempo	4/4	1	1	0									ImTempo	70.0			1.0					
16	16	60	60	0.0	0	0	Tempo	4/4	1	1	0									ImTempo	70.0			1.0					
16	16	60	60	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	184	Hast													
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	185	ein													
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	186	Reh													
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	187	du													
16	16	60	60	0.0	0	0	Dynamic	4/4	2	1	0						p												
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	188										11				
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	189										11				
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	190										11				
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	191										11				
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	192										11				
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	193										11				
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	194										11				
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	195														
16	16	60	60	0.0	0	0	Spanner	4/4	3	1	0																		
16	16	60	60	4.0	0	0	Chord	4/4	3	1	1		1	1	196														
17	17	64	64	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	197	lieb													
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	198	vor													
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	199	an-													
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	200	-dern,													
17	17	64	64	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	201										11				
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	202										11				
17	17	66	66	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	203										11				
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	204										11				
17	17	64	64	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	205														
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	206														
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	207														
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	208														
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	209														
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	210														
17	17	64	64	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	211														
17	17	65	65	3.0	1/4	1/4	Chord	4/4	3	1	3/4		1/2	3/2	212														
18	18	68	68	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	213	lass													
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	214	es													
18	18	70	70	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	215	nicht													
18	18	71	71	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	216	al-													
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	217														
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	218										12				
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	219										12				
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	220										12				
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	221										12				
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	222										12				
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	223										12				
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	224										12				
18	18	137/2	137/2	1.5	1/8	1/8	Chord	4/4	2	2	3/8		1/4	3/2	225														
18	18	71	71	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	226														
18	18	68	68	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	227														
18	18	69	69	3.0	1/4	1/4	Chord	4/4	3	1	3/4		1/2	3/2	228														
19	19	72	72	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	229	-lei-													
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	230	-ne													
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	231	gra-													
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	232	-sen,													
19	19	72	72	1.5	0	0	Chord	4/4	2	1	3/8		1/4	3/2	233										12				
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	234										12				
19	19	74	74	1.5	1/2	1/2	Chord	4/4	2	1	3/8		1/4	3/2	235										12				
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	236														
19	19	72	72	0.5	0	0	Chord	4/4	2	2	1/8		1/8	1	237														
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	238														
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	239														
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	2	1/8		1/8	1	240														
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8		1/8	1	241														
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	242														
19	19	72	72	1.0	0	0	Chord	4/4	3	1	1/4		1/4	1	243														
19	19	73	73	1.0	1/4	1/4	Chord	4/4	3	1	1/4		1/4	1	244														
20	20	76	76	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	245	Jä-													
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	246	-ger													
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	247	zieh'n													
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	248	im													
20	20	76	76	4.0	0	0	Chord	4/4	2	1	1		1	1	249														
20	20	153/2	153/2	0.0	1/8	1/8	Dynamic	4/4	3	1	0						p												
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	3	1	1/8		1/8	1	250										13				
20	20	77	77	0.5	1/4	1/4	Chord	4/4	3	1	1/8		1/8	1	251										13				
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	3	1	1/8		1/8	1	252										13				
20	20	78	78	0.5	1/2	1/2	Chord	4/4	3	1	1/8		1/8	1	253										13				
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	3	1	1/8		1/8	1	254										13				
20	20	79	79	0.5	3/4	3/4	Chord	4/4	3	1	1/8		1/8	1	255										13				
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	3	1	1/8		1/8	1	256										13				
20	20	78	78	2.0	1/2	1/2	Chord	4/4	3	2	1/2		1/2	1	257														
21	21	80	80	1.5	0	0	Chord	4/4	1	1	3/8		1/4	3/2	258	Wald													
21	21	163/2	163/2	0.0	3/8	3/8	Tempo	4/4	1	1	0									ritard.	66.0			1.0					
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	259	und													
21	21	82	82	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	260	bla-													
21	21	83	83	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0					
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	261	-sen,													
21	21	80	80	4.0	0	0	Chord	4/4	2	1	1		1	1	262														
21	21	80	80	0.5	0	0	Chord	4/4	3	1	1/8		1/8	1	263														
21	21	161/2	161/2	0.0	1/8	1/8	Spanner	4/4	3	1	0																	1	
